≥‚ø˘,¡ˆ¡°,∆Ú±’±‚ø¬(°…),∆Ú±’√÷¿˙±‚ø¬(°…),∆Ú±’√÷∞Ì±‚ø¬(°…)
Jan-22,159,4,0,9.2
Feb-22,159,3.6,-0.5,8.8
Mar-22,159,10.5,6.8,14.8
Apr-22,159,14.9,11.4,19.1
May-22,159,19,15.3,23.4
Jun-22,159,21.7,19.4,24.9
Jul-22,159,26.2,23.7,29.7
Aug-22,159,26.4,24,29.7
Sep-22,159,22.9,20.2,26.9
Oct-22,159,17.6,14,22.7
Nov-22,159,14.4,10.4,19.8
Dec-22,159,3.3,-0.3,8.1
