≥‚ø˘,¡ˆ¡°,∆Ú±’±‚ø¬(°…),∆Ú±’√÷¿˙±‚ø¬(°…),∆Ú±’√÷∞Ì±‚ø¬(°…)
Jan-22,133,-0.8,-5.9,5.2
Feb-22,133,0.1,-5.2,6.1
Mar-22,133,8.3,2.5,14.5
Apr-22,133,14.9,8.3,21.9
May-22,133,19.4,12.7,26.3
Jun-22,133,24.1,19.8,29.4
Jul-22,133,27,23.4,31.5
Aug-22,133,25.7,22.7,29.6
Sep-22,133,21.8,17.4,27.5
Oct-22,133,14.3,9.1,20.7
Nov-22,133,9.5,3.8,16.6
Dec-22,133,-2,-6.4,3.3
