≥‚ø˘,¡ˆ¡°,∆Ú±’±‚ø¬(°…),∆Ú±’√÷¿˙±‚ø¬(°…),∆Ú±’√÷∞Ì±‚ø¬(°…)
Jan-22,184,6.2,3.9,9.1
Feb-22,184,5.6,2.9,8.7
Mar-22,184,11.4,7.8,15.5
Apr-22,184,15.5,11.9,19.6
May-22,184,19.4,15.8,23.1
Jun-22,184,23.9,21.1,27.5
Jul-22,184,28.4,25.7,31.8
Aug-22,184,29.2,26.2,32.8
Sep-22,184,24.1,21.9,26.9
Oct-22,184,18.4,15.5,21.7
Nov-22,184,15.2,11.8,19.3
Dec-22,184,6.9,4.5,9.4
