≥‚ø˘,¡ˆ¡°,∆Ú±’±‚ø¬(°…),∆Ú±’√÷¿˙±‚ø¬(°…),∆Ú±’√÷∞Ì±‚ø¬(°…)
Jan-22,108,-2.2,-6.2,2.6
Feb-22,108,-1.1,-5.3,3.8
Mar-22,108,7.7,3.2,12.7
Apr-22,108,14.8,10,20.6
May-22,108,19.1,13.9,25
Jun-22,108,23.3,19.8,27.5
Jul-22,108,27.3,24.2,31
Aug-22,108,25.7,23.1,28.9
Sep-22,108,22.4,18.2,27.2
Oct-22,108,14.6,10.3,19.7
Nov-22,108,10,5.6,15.4
Dec-22,108,-2.8,-6.6,1.7
