행정구역,2014년_총인구수,2014년_세대수,2014년_남자 인구수,2014년_여자 인구수
제주특별자치도(5000000000),"607,346","246,516","304,656","302,690"
제주특별자치도 제주시 (5011000000),"448,834","179,090","224,581","224,253"
제주특별자치도 서귀포시 (5013000000),"158,512","67,426","80,075","78,437"
